MMSI,BaseDateTime,SOG,COG,LON,LAT
563781000,2025-08-02 03:58:34.653181+00:00,15.9,172.3,103.788405,1.2407333333333335
416706000,2025-08-02 03:58:56.000650+00:00,0.0,360.0,120.292355,22.58409
566729000,2025-08-02 03:58:45.383052+00:00,2.0,110.4,103.64736333333333,1.238805
352986168,2025-08-02 03:58:34.969735+00:00,2.0,0.0,103.77952833333333,1.274
563059500,2025-08-02 03:57:34.684291+00:00,0.0,316.0,103.97485833333333,1.2968433333333331
565102000,2025-08-02 03:58:35.021304+00:00,0.2,218.9,103.75001166666667,1.2228233333333334
563184200,2025-08-02 03:57:35.188974+00:00,0.0,58.8,103.76523666666667,1.2877483333333333
477121200,2025-08-02 03:57:35.214382+00:00,0.0,88.7,103.78433833333334,1.2695766666666666
567022600,2025-08-02 03:58:35.371626+00:00,0.0,8.6,100.57552833333332,13.550831666666665
567006677,2025-08-02 03:58:35.481492+00:00,5.4,176.2,100.57483666666667,13.561538333333335
416003141,2025-08-02 03:58:48.913856+00:00,10.6,342.1,121.99108,24.80243
565733000,2025-08-02 03:59:06.047078+00:00,0.0,294.4,103.94429833333334,1.294385
548693300,2025-08-02 03:58:35.688893+00:00,5.0,40.2,123.98685333333333,10.23625
413902743,2025-08-02 03:57:35.563516+00:00,0.0,58.9,114.15936,22.30667833333333
563065560,2025-08-02 03:58:44.985016+00:00,0.1,360.0,103.94513333333333,1.301515
375186000,2025-08-02 03:57:35.726347+00:00,0.0,57.6,120.28224,22.603488333333335
566218000,2025-08-02 03:58:45.859950+00:00,5.9,70.0,103.95554999999999,1.2956333333333334
563009220,2025-08-02 03:58:56.796244+00:00,0.0,360.0,103.76052,1.291015
636018890,2025-08-02 03:57:36.467673+00:00,11.0,121.6,103.63202666666666,1.059485
563055000,2025-08-02 03:58:36.436125+00:00,2.0,290.5,103.76805333333333,1.2209783333333335
563062780,2025-08-02 03:58:36.484028+00:00,9.8,253.5,103.84996666666666,1.2066333333333332
563069230,2025-08-02 03:58:36.673525+00:00,0.0,155.0,103.76029,1.2911233333333334
564759000,2025-08-02 03:58:43.590799+00:00,7.7,265.5,103.77443333333333,1.2227783333333333
